model,model_display,model_type,n_candidates,n_prompts,mean_num_pred_items,mean_num_strict_pred_items,candidate_valid_rate@10,raw_item_coverage@1,raw_unique_items@1,raw_avg_popularity@1,raw_catalog_match_rate@1,raw_item_coverage@5,raw_unique_items@5,raw_avg_popularity@5,raw_catalog_match_rate@5,raw_item_coverage@10,raw_unique_items@10,raw_avg_popularity@10,raw_catalog_match_rate@10,strict_item_coverage@1,strict_unique_items@1,strict_avg_popularity@1,strict_catalog_match_rate@1,strict_item_coverage@5,strict_unique_items@5,strict_avg_popularity@5,strict_catalog_match_rate@5,strict_item_coverage@10,strict_unique_items@10,strict_avg_popularity@10,strict_catalog_match_rate@10,paper_item_coverage@1,paper_unique_items@1,paper_avg_popularity@1,paper_catalog_match_rate@1,paper_item_coverage@5,paper_unique_items@5,paper_avg_popularity@5,paper_catalog_match_rate@5,paper_item_coverage@10,paper_unique_items@10,paper_avg_popularity@10,paper_catalog_match_rate@10,raw_hit_rate@1,raw_hit_rate@5,raw_hit_rate@10,raw_mrr@1,raw_mrr@5,raw_mrr@10,raw_precision@1,raw_precision@5,raw_precision@10,raw_recall@1,raw_recall@5,raw_recall@10,raw_f1@1,raw_f1@5,raw_f1@10,raw_ndcg@1,raw_ndcg@5,raw_ndcg@10,strict_hit_rate@1,strict_hit_rate@5,strict_hit_rate@10,strict_mrr@1,strict_mrr@5,strict_mrr@10,strict_precision@1,strict_precision@5,strict_precision@10,strict_recall@1,strict_recall@5,strict_recall@10,strict_f1@1,strict_f1@5,strict_f1@10,strict_ndcg@1,strict_ndcg@5,strict_ndcg@10,paper_hit_rate@1,paper_hit_rate@5,paper_hit_rate@10,paper_mrr@1,paper_mrr@5,paper_mrr@10,paper_precision@1,paper_precision@5,paper_precision@10,paper_recall@1,paper_recall@5,paper_recall@10,paper_f1@1,paper_f1@5,paper_f1@10,paper_ndcg@1,paper_ndcg@5,paper_ndcg@10,paper_ndcg@10_mean,paper_ndcg@10_ci_low,paper_ndcg@10_ci_high
claude-opus-4-6,Claude Opus 4.6,api,c0,999,9.97997997997998,9.97997997997998,0.997997997997998,0.06311380704794917,437.0,59.51825677267373,0.8498498498498499,0.1480358174465627,1025.0,56.70604082998661,0.8544544544544544,0.20407279029462738,1413.0,52.12112886277881,0.8606606606606607,0.06311380704794917,437.0,59.51825677267373,0.8498498498498499,0.1480358174465627,1025.0,56.70604082998661,0.8544544544544544,0.20407279029462738,1413.0,52.12112886277881,0.8606606606606607,0.06311380704794917,437.0,59.51825677267373,0.8498498498498499,0.1480358174465627,1025.0,56.70604082998661,0.8544544544544544,0.20407279029462738,1413.0,52.12112886277881,0.8606606606606607,0.25125125125125125,0.43843843843843844,0.4874874874874875,0.25125125125125125,0.3294961628294961,0.33599472488361376,0.25125125125125125,0.11031031031031031,0.06246246246246246,0.17255588922255588,0.29407741074407745,0.33538538538538537,0.19423232756566092,0.15217143550476883,0.10145025978359312,0.25125125125125125,0.2773368428896384,0.29254037777725506,0.25125125125125125,0.43843843843843844,0.4874874874874875,0.25125125125125125,0.3294961628294961,0.33599472488361376,0.25125125125125125,0.11031031031031031,0.06246246246246246,0.17255588922255588,0.29407741074407745,0.33538538538538537,0.19423232756566092,0.15217143550476883,0.10145025978359312,0.25125125125125125,0.2773368428896384,0.29254037777725506,0.25125125125125125,0.43843843843843844,0.4874874874874875,0.25125125125125125,0.3294961628294961,0.33599472488361376,0.25125125125125125,0.11031031031031031,0.06246246246246246,0.17255588922255588,0.29407741074407745,0.33538538538538537,0.19423232756566092,0.15217143550476883,0.10145025978359312,0.25125125125125125,0.2773368428896384,0.29254037777725506,0.29254037777725506,0.2697993463998647,0.31535697561568693
claude-opus-4-6,Claude Opus 4.6,api,c1000,999,9.916916916916916,9.776776776776776,0.9776776776776778,0.07755632582322357,537.0,47.74416135881104,0.9429429429429429,0.18587521663778164,1287.0,48.28181664981463,0.9521521521521522,0.2559214326978625,1772.0,46.30093460189323,0.9522522522522522,0.07827845176198729,542.0,47.7460815047022,0.9579579579579579,0.18573079145002888,1286.0,48.43895055499495,0.958958958958959,0.2551993067590988,1767.0,46.338679864815084,0.9487487487487488,0.07827845176198729,542.0,47.7460815047022,0.9579579579579579,0.18573079145002888,1286.0,48.43895055499495,0.958958958958959,0.2551993067590988,1767.0,46.338679864815084,0.9487487487487488,0.19019019019019018,0.3253253253253253,0.38038038038038036,0.19019019019019018,0.24522856189522857,0.2523877051654829,0.19019019019019018,0.07667667667667667,0.04584584584584584,0.12322322322322322,0.20555555555555555,0.24486152819486154,0.14158444158444156,0.10630948408726189,0.07467616634283301,0.19019019019019018,0.19520909671207828,0.20981657253574362,0.1871871871871872,0.3173173173173173,0.3733733733733734,0.1871871871871872,0.24022355689022357,0.24754675310230861,0.1871871871871872,0.07367367367367367,0.044044044044044044,0.1210543877210544,0.19979979979979978,0.2382716049382716,0.13929643929643928,0.10270631381742494,0.07201591368258035,0.1871871871871872,0.19004802250914957,0.20442138708041901,0.1871871871871872,0.3173173173173173,0.3733733733733734,0.1871871871871872,0.24022355689022357,0.24754675310230861,0.1871871871871872,0.07367367367367367,0.044044044044044044,0.1210543877210544,0.19979979979979978,0.2382716049382716,0.13929643929643928,0.10270631381742494,0.07201591368258035,0.1871871871871872,0.19004802250914957,0.20442138708041901,0.20442138708041901,0.1857486118912148,0.22337861883078397
claude-opus-4-6,Claude Opus 4.6,api,c250,999,9.954954954954955,9.87087087087087,0.9870870870870871,0.0803004043905257,556.0,44.94379639448569,0.943943943943944,0.18861929520508378,1306.0,44.24753272910373,0.9601601601601603,0.2645869439630272,1832.0,42.80241927757018,0.9587587587587588,0.0805892547660312,558.0,45.12866108786611,0.9569569569569569,0.18804159445407279,1302.0,44.35897048960429,0.966966966966967,0.2638648180242634,1827.0,42.80381894541855,0.9563563563563564,0.0805892547660312,558.0,45.12866108786611,0.9569569569569569,0.18804159445407279,1302.0,44.35897048960429,0.966966966966967,0.2638648180242634,1827.0,42.80381894541855,0.9563563563563564,0.13013013013013014,0.24124124124124124,0.2782782782782783,0.13013013013013014,0.17248915582248917,0.1775291164180053,0.13013013013013014,0.056056056056056056,0.03293293293293294,0.08893893893893894,0.157374040707374,0.17937937937937937,0.10030506697173362,0.07867340645118424,0.05376010376010377,0.13013013013013014,0.1429761444360343,0.1518768572448585,0.12712712712712712,0.23623623623623624,0.27127127127127126,0.12712712712712712,0.168651985318652,0.17339998728887618,0.12712712712712712,0.055055055055055056,0.03223223223223223,0.08802135468802136,0.15592258925592256,0.17709376042709374,0.0989513322846656,0.07753251086584421,0.05271684438351106,0.12712712712712712,0.1411726977293407,0.1497431897168173,0.12712712712712712,0.23623623623623624,0.27127127127127126,0.12712712712712712,0.168651985318652,0.17339998728887618,0.12712712712712712,0.055055055055055056,0.03223223223223223,0.08802135468802136,0.15592258925592256,0.17709376042709374,0.0989513322846656,0.07753251086584421,0.05271684438351106,0.12712712712712712,0.1411726977293407,0.1497431897168173,0.1497431897168173,0.13108366431170704,0.1681141251956503
claude-opus-4-6,Claude Opus 4.6,api,c500,999,9.911911911911911,9.73973973973974,0.973973973973974,0.07640092432120162,529.0,47.072120559741656,0.92992992992993,0.18833044482957828,1304.0,46.08270727580372,0.94994994994995,0.2598209127671866,1799.0,44.44411086939006,0.9491491491491492,0.07683419988445984,532.0,48.18585005279831,0.9479479479479479,0.18818601964182555,1303.0,46.03695431472081,0.9587587587587588,0.2593876372039284,1796.0,44.484319555233256,0.945845845845846,0.07683419988445984,532.0,48.18585005279831,0.9479479479479479,0.18818601964182555,1303.0,46.03695431472081,0.9587587587587588,0.2593876372039284,1796.0,44.484319555233256,0.945845845845846,0.15515515515515516,0.2802802802802803,0.3333333333333333,0.15515515515515516,0.2058224891558225,0.21291370735815177,0.15515515515515516,0.06506506506506507,0.039439439439439436,0.10550550550550551,0.1814814814814815,0.21751751751751752,0.11894275227608561,0.09115991893769672,0.0645878895878896,0.15515515515515516,0.16839321685856706,0.1821402766640985,0.14814814814814814,0.2702702702702703,0.3203203203203203,0.14814814814814814,0.19759759759759757,0.2043551487995932,0.14814814814814814,0.06226226226226226,0.03753753753753754,0.10125125125125126,0.17589255922589256,0.20975975975975975,0.11408551408551408,0.08775138775138777,0.06172363672363673,0.14814814814814814,0.1621619961575931,0.17516420958301743,0.14814814814814814,0.2702702702702703,0.3203203203203203,0.14814814814814814,0.19759759759759757,0.2043551487995932,0.14814814814814814,0.06226226226226226,0.03753753753753754,0.10125125125125126,0.17589255922589256,0.20975975975975975,0.11408551408551408,0.08775138775138777,0.06172363672363673,0.14814814814814814,0.1621619961575931,0.17516420958301743,0.17516420958301743,0.1570141341786319,0.1949304652294927
claude-opus-4-6,Claude Opus 4.6,api,cALL,999,9.998998998999,9.956956956956956,0.9956956956956956,0.07668977469670711,531.0,53.28661087866109,0.9569569569569569,0.19670710571923744,1362.0,48.21788455121789,0.9629629629629629,0.27469670710571925,1902.0,45.81590717701829,0.9641641641641642,0.07683419988445984,532.0,52.85119667013527,0.9619619619619619,0.1972848064702484,1366.0,48.01544878211545,0.9651651651651653,0.274263431542461,1899.0,45.75904952571619,0.9624624624624625,0.07683419988445984,532.0,52.85119667013527,0.9619619619619619,0.1972848064702484,1366.0,48.01544878211545,0.9651651651651653,0.274263431542461,1899.0,45.75904952571619,0.9624624624624625,0.22922922922922923,0.4024024024024024,0.44544544544544545,0.22922922922922923,0.3012012012012012,0.3067031317031317,0.22922922922922923,0.1021021021021021,0.05845845845845845,0.15170170170170172,0.2678178178178178,0.3019519519519519,0.17287763954430618,0.14013710680377348,0.0943466110132777,0.22922922922922923,0.2509062486197812,0.26418228863572774,0.23023023023023023,0.4024024024024024,0.44544544544544545,0.23023023023023023,0.3017017017017017,0.30722746556079894,0.23023023023023023,0.1021021021021021,0.05845845845845845,0.1522022022022022,0.2678178178178178,0.3019519519519519,0.17354497354497353,0.14013710680377348,0.0943466110132777,0.23023023023023023,0.25113276952621855,0.2644317062926903,0.23023023023023023,0.4024024024024024,0.44544544544544545,0.23023023023023023,0.3017017017017017,0.30722746556079894,0.23023023023023023,0.1021021021021021,0.05845845845845845,0.1522022022022022,0.2678178178178178,0.3019519519519519,0.17354497354497353,0.14013710680377348,0.0943466110132777,0.23023023023023023,0.25113276952621855,0.2644317062926903,0.2644317062926903,0.2422988327827757,0.2870551583474268
gpt-5.2,GPT-5.2,api,c0,999,9.993993993993994,9.993993993993994,0.9993993993993995,0.06369150779896014,441.0,52.85549872122762,0.7827827827827828,0.15800115540150203,1094.0,47.68802294197031,0.8082082082082083,0.21634893125361063,1498.0,44.634929780195314,0.8215215215215216,0.06369150779896014,441.0,52.85549872122762,0.7827827827827828,0.15800115540150203,1094.0,47.68802294197031,0.8082082082082083,0.21634893125361063,1498.0,44.634929780195314,0.8215215215215216,0.06369150779896014,441.0,52.85549872122762,0.7827827827827828,0.15800115540150203,1094.0,47.68802294197031,0.8082082082082083,0.21634893125361063,1498.0,44.634929780195314,0.8215215215215216,0.22522522522522523,0.36436436436436437,0.4094094094094094,0.22522522522522523,0.28019686353019685,0.2861055499944389,0.22522522522522523,0.09069069069069069,0.05215215215215215,0.14676343009676343,0.24155822489155823,0.2762595929262596,0.16837313503980167,0.12518463629574741,0.08459847626514294,0.22522522522522523,0.22958158077328372,0.24272698071478724,0.22522522522522523,0.36436436436436437,0.4094094094094094,0.22522522522522523,0.28019686353019685,0.2861055499944389,0.22522522522522523,0.09069069069069069,0.05215215215215215,0.14676343009676343,0.24155822489155823,0.2762595929262596,0.16837313503980167,0.12518463629574741,0.08459847626514294,0.22522522522522523,0.22958158077328372,0.24272698071478724,0.22522522522522523,0.36436436436436437,0.4094094094094094,0.22522522522522523,0.28019686353019685,0.2861055499944389,0.22522522522522523,0.09069069069069069,0.05215215215215215,0.14676343009676343,0.24155822489155823,0.2762595929262596,0.16837313503980167,0.12518463629574741,0.08459847626514294,0.22522522522522523,0.22958158077328372,0.24272698071478724,0.24272698071478724,0.22130656621321296,0.2642853077162354
gpt-5.2,GPT-5.2,api,c1000,999,9.998998998999,9.588588588588589,0.9588588588588588,0.07741190063547082,536.0,43.620224719101124,0.8908908908908909,0.20147313691507798,1395.0,41.21990972918756,0.9335335335335336,0.27946273830155977,1935.0,39.15821376932488,0.9490490490490492,0.07856730213749277,544.0,44.12118018967334,0.94994994994995,0.20335066435586366,1408.0,40.59838171504838,0.9633633633633635,0.2751299826689775,1905.0,38.91240168740168,0.9262262262262263,0.07856730213749277,544.0,44.12118018967334,0.94994994994995,0.20335066435586366,1408.0,40.59838171504838,0.9633633633633635,0.2751299826689775,1905.0,38.91240168740168,0.9262262262262263,0.18018018018018017,0.30930930930930933,0.34934934934934936,0.18018018018018017,0.22961294627961293,0.2347732653288209,0.18018018018018017,0.07307307307307308,0.043043043043043044,0.11404738071404738,0.197681014347681,0.2302469135802469,0.13233709900376567,0.10160297382519606,0.07018672018672019,0.18018018018018017,0.18440814710433673,0.1968598261732765,0.16616616616616617,0.27927927927927926,0.3163163163163163,0.16616616616616617,0.20917584250917584,0.21388134165911946,0.16616616616616617,0.06386386386386386,0.03783783783783783,0.10412078745412079,0.17545879212545878,0.20518852185518852,0.12109252109252108,0.08930626152848375,0.06191378691378692,0.16616616616616617,0.1646561356202526,0.17602604695286028,0.16616616616616617,0.27927927927927926,0.3163163163163163,0.16616616616616617,0.20917584250917584,0.21388134165911946,0.16616616616616617,0.06386386386386386,0.03783783783783783,0.10412078745412079,0.17545879212545878,0.20518852185518852,0.12109252109252108,0.08930626152848375,0.06191378691378692,0.16616616616616617,0.1646561356202526,0.17602604695286028,0.17602604695286028,0.1558833396768321,0.19567296731979075
gpt-5.2,GPT-5.2,api,c250,999,9.994994994994995,9.663663663663664,0.9663663663663663,0.08261120739456962,572.0,46.43075245365322,0.9179179179179179,0.21346042749855576,1478.0,38.45880093520374,0.9469469469469469,0.29332755632582325,2031.0,36.80859391137169,0.9511511511511512,0.08087810514153669,560.0,45.12646121147715,0.9419419419419419,0.2099942229924899,1454.0,38.223390056723396,0.9591591591591592,0.28581744656268054,1979.0,36.64393957449513,0.9276276276276276,0.08087810514153669,560.0,45.12646121147715,0.9419419419419419,0.2099942229924899,1454.0,38.223390056723396,0.9591591591591592,0.28581744656268054,1979.0,36.64393957449513,0.9276276276276276,0.14114114114114115,0.24724724724724725,0.2972972972972973,0.14114114114114115,0.18158158158158155,0.18815204092981871,0.14114114114114115,0.057457457457457464,0.034834834834834835,0.09471137804471137,0.15927594260927594,0.19254254254254258,0.1077077077077077,0.08032975255197478,0.05703908203908205,0.14114114114114115,0.14812085771085673,0.16060095188583573,0.11711711711711711,0.2042042042042042,0.25225225225225223,0.11711711711711711,0.1506172839506173,0.15693749304860416,0.11711711711711711,0.04724724724724725,0.029429429429429433,0.07719386052719385,0.13074741408074741,0.16234567901234567,0.08822155488822155,0.06603371047815491,0.04818207318207319,0.11711711711711711,0.12160521531990626,0.13347901794930567,0.11711711711711711,0.2042042042042042,0.25225225225225223,0.11711711711711711,0.1506172839506173,0.15693749304860416,0.11711711711711711,0.04724724724724725,0.029429429429429433,0.07719386052719385,0.13074741408074741,0.16234567901234567,0.08822155488822155,0.06603371047815491,0.04818207318207319,0.11711711711711711,0.12160521531990626,0.13347901794930567,0.13347901794930567,0.11561093817077239,0.1511256722174678
gpt-5.2,GPT-5.2,api,c500,999,9.997997997997999,9.5995995995996,0.95995995995996,0.08492201039861352,588.0,44.73922413793103,0.928928928928929,0.20623916811091855,1428.0,39.701368034701375,0.9477477477477477,0.28711727325245523,1988.0,38.14166269444047,0.9536536536536537,0.0831889081455806,576.0,43.881002087682674,0.958958958958959,0.20551704217215483,1423.0,39.18266599933267,0.9641641641641642,0.2807625649913345,1944.0,37.85523380523381,0.9260260260260261,0.0831889081455806,576.0,43.881002087682674,0.958958958958959,0.20551704217215483,1423.0,39.18266599933267,0.9641641641641642,0.2807625649913345,1944.0,37.85523380523381,0.9260260260260261,0.15015015015015015,0.2852852852852853,0.3303303303303303,0.15015015015015015,0.20136803470136805,0.20719370163814607,0.15015015015015015,0.06686686686686687,0.04034034034034034,0.09602936269602935,0.17779446112779446,0.21224557891224555,0.11103007769674436,0.09256493145382036,0.06562703229369897,0.15015015015015015,0.1619654236174036,0.17517987664207585,0.12812812812812813,0.23823823823823823,0.2832832832832833,0.12812812812812813,0.1700367033700367,0.17595810095810097,0.12812812812812813,0.05445445445445445,0.03393393393393394,0.0804637971304638,0.1477811144477811,0.18089756423089753,0.09347919347919346,0.07583868139423695,0.05534825534825535,0.12812812812812813,0.13466285374700643,0.1474638257549911,0.12812812812812813,0.23823823823823823,0.2832832832832833,0.12812812812812813,0.1700367033700367,0.17595810095810097,0.12812812812812813,0.05445445445445445,0.03393393393393394,0.0804637971304638,0.1477811144477811,0.18089756423089753,0.09347919347919346,0.07583868139423695,0.05534825534825535,0.12812812812812813,0.13466285374700643,0.1474638257549911,0.1474638257549911,0.13107051305933393,0.16467107079364754
gpt-5.2,GPT-5.2,api,cALL,999,9.996996996996996,9.51951951951952,0.9519519519519519,0.07683419988445984,532.0,49.48101265822785,0.8698698698698699,0.1981513575967649,1372.0,43.02985274431058,0.9169169169169169,0.26891969959560946,1862.0,40.74826215103993,0.9431431431431432,0.08116695551704217,562.0,48.70954356846473,0.964964964964965,0.20161756210283074,1396.0,41.353189712758855,0.9657657657657657,0.2657423454650491,1840.0,40.157664410442194,0.9235235235235235,0.08116695551704217,562.0,48.70954356846473,0.964964964964965,0.20161756210283074,1396.0,41.353189712758855,0.9657657657657657,0.2657423454650491,1840.0,40.157664410442194,0.9235235235235235,0.21921921921921922,0.38238238238238237,0.4364364364364364,0.21921921921921922,0.2815648982315649,0.288783624894736,0.21921921921921922,0.09169169169169168,0.053953953953953956,0.14341007674341008,0.24766433099766436,0.2890724057390724,0.1646217646217646,0.12730334952557176,0.08779142945809613,0.21921921921921922,0.23047829887440519,0.24620803123187326,0.23723723723723725,0.3933933933933934,0.4364364364364364,0.23723723723723725,0.2978478478478478,0.30354322576544795,0.23723723723723725,0.09429429429429428,0.053953953953953956,0.1512012012012012,0.2539873206539873,0.2890724057390724,0.17499880833214168,0.13075044741711409,0.08779142945809613,0.23723723723723725,0.23965837613464055,0.25287645294322914,0.23723723723723725,0.3933933933933934,0.4364364364364364,0.23723723723723725,0.2978478478478478,0.30354322576544795,0.23723723723723725,0.09429429429429428,0.053953953953953956,0.1512012012012012,0.2539873206539873,0.2890724057390724,0.17499880833214168,0.13075044741711409,0.08779142945809613,0.23723723723723725,0.23965837613464055,0.25287645294322914,0.25287645294322914,0.23231524080921773,0.2740152458380542
