model,model_display,n_candidates,paper_ndcg@10,raw_ndcg@10,strict_ndcg@10,Candidate pool,metric_policy
claude-opus-4-6,Claude Opus 4.6,c0,0.29254037777725506,0.29254037777725506,0.29254037777725506,Zero-shot,raw/open
claude-opus-4-6,Claude Opus 4.6,c1000,0.20442138708041901,0.20981657253574362,0.20442138708041901,1000,strict candidate-aware
claude-opus-4-6,Claude Opus 4.6,c250,0.1497431897168173,0.1518768572448585,0.1497431897168173,250,strict candidate-aware
claude-opus-4-6,Claude Opus 4.6,c500,0.17516420958301743,0.1821402766640985,0.17516420958301743,500,strict candidate-aware
claude-opus-4-6,Claude Opus 4.6,cALL,0.2644317062926903,0.26418228863572774,0.2644317062926903,All,strict candidate-aware
gpt-5.2,GPT-5.2,c0,0.24272698071478724,0.24272698071478724,0.24272698071478724,Zero-shot,raw/open
gpt-5.2,GPT-5.2,c1000,0.17602604695286028,0.1968598261732765,0.17602604695286028,1000,strict candidate-aware
gpt-5.2,GPT-5.2,c250,0.13347901794930567,0.16060095188583573,0.13347901794930567,250,strict candidate-aware
gpt-5.2,GPT-5.2,c500,0.1474638257549911,0.17517987664207585,0.1474638257549911,500,strict candidate-aware
gpt-5.2,GPT-5.2,cALL,0.25287645294322914,0.24620803123187326,0.25287645294322914,All,strict candidate-aware
infobip-gpt-4-1,GPT-4.1,c0,0.19831560015200403,0.19831560015200403,0.19831560015200403,Zero-shot,raw/open
infobip-gpt-4-1,GPT-4.1,c1000,0.16412823590255216,0.1913154012092062,0.16412823590255216,1000,strict candidate-aware
infobip-gpt-4-1,GPT-4.1,c250,0.12832856805768167,0.15170119037533553,0.12832856805768167,250,strict candidate-aware
infobip-gpt-4-1,GPT-4.1,c500,0.1437860068168396,0.1787160311738784,0.1437860068168396,500,strict candidate-aware
infobip-gpt-4-1,GPT-4.1,cALL,0.21434235020277678,0.2074157150543479,0.21434235020277678,All,strict candidate-aware
claude-sonnet-4-6,Claude Sonnet 4.6,c0,0.22074540886311653,0.22074540886311653,0.22074540886311653,Zero-shot,raw/open
claude-sonnet-4-6,Claude Sonnet 4.6,c1000,0.1730919966896285,0.17677456750634435,0.1730919966896285,1000,strict candidate-aware
claude-sonnet-4-6,Claude Sonnet 4.6,c250,0.13248596138837698,0.13699235587295394,0.13248596138837698,250,strict candidate-aware
claude-sonnet-4-6,Claude Sonnet 4.6,c500,0.15865747941815808,0.1611739313487674,0.15865747941815808,500,strict candidate-aware
claude-sonnet-4-6,Claude Sonnet 4.6,cALL,0.2293109867565296,0.22856413784457316,0.2293109867565296,All,strict candidate-aware
infobip-gpt-4-1-mini,GPT-4.1-mini,c0,0.1936500470934246,0.1936500470934246,0.1936500470934246,Zero-shot,raw/open
infobip-gpt-4-1-mini,GPT-4.1-mini,c1000,0.12893650434015527,0.14291450133555392,0.12893650434015527,1000,strict candidate-aware
infobip-gpt-4-1-mini,GPT-4.1-mini,c250,0.1021448044789395,0.11902623290173474,0.1021448044789395,250,strict candidate-aware
infobip-gpt-4-1-mini,GPT-4.1-mini,c500,0.10803418626650133,0.12878651937221577,0.10803418626650133,500,strict candidate-aware
infobip-gpt-4-1-mini,GPT-4.1-mini,cALL,0.16004122882694383,0.15381818033772268,0.16004122882694383,All,strict candidate-aware
Qwen2.5-7B-FT,Qwen2.5-7B-FT,c250,0.07920418871088057,0.1075542392120803,0.07920418871088057,250,strict candidate-aware
Gemma-2-9B,Gemma-2-9B,c0,0.13556974639290567,0.13556974639290567,0.13556974639290567,Zero-shot,raw/open
Gemma-2-9B,Gemma-2-9B,c250,0.0649748392999394,0.07150725804321763,0.0649748392999394,250,strict candidate-aware
Gemma-2-9B,Gemma-2-9B,c500,0.05807438671957467,0.05900404587832346,0.05807438671957467,500,strict candidate-aware
Llama-3.3-70B,Llama-3.3-70B,c0,0.11543941880205867,0.11543941880205867,0.11543941880205867,Zero-shot,raw/open
Llama-3.3-70B,Llama-3.3-70B,c250,0.07697621191290784,0.06798670646271468,0.07697621191290784,250,strict candidate-aware
Llama-3.3-70B,Llama-3.3-70B,c500,0.06541459334896517,0.05683141860733468,0.06541459334896517,500,strict candidate-aware
Qwen2.5-7B,Qwen2.5-7B,c0,0.062204927902915305,0.062204927902915305,0.062204927902915305,Zero-shot,raw/open
Qwen2.5-7B,Qwen2.5-7B,c250,0.05002279763024168,0.04811109073210684,0.05002279763024168,250,strict candidate-aware
Qwen2.5-7B,Qwen2.5-7B,c500,0.03907251097631476,0.04270781033533702,0.03907251097631476,500,strict candidate-aware
Llama-3.1-8B,Llama-3.1-8B,c0,0.08146725448373399,0.08146725448373399,0.08146725448373399,Zero-shot,raw/open
Llama-3.1-8B,Llama-3.1-8B,c250,0.05034853573372033,0.04493364805520974,0.05034853573372033,250,strict candidate-aware
Llama-3.1-8B,Llama-3.1-8B,c500,0.049369936893904474,0.0446419995463022,0.049369936893904474,500,strict candidate-aware
Llama-3.2-3B,Llama-3.2-3B,c0,0.060257658165881134,0.060257658165881134,0.060257658165881134,Zero-shot,raw/open
Llama-3.2-3B,Llama-3.2-3B,c250,0.027807797482735038,0.02552329914790748,0.027807797482735038,250,strict candidate-aware
Llama-3.2-3B,Llama-3.2-3B,c500,0.024506046806279776,0.01928710775193912,0.024506046806279776,500,strict candidate-aware
