model_type,model,eval_method,n_candidates,k,hit_rate,mrr,precision,recall,ndcg
CF,EASE,standalone,6924,10,0.2762762762762762,0.1342668064890287,0.0323323323323323,0.172655989322656,0.1170843682547403
CF,BPR,standalone,6924,10,0.2282282282282282,0.1164462081128747,0.0266266266266266,0.1415915915915915,0.0991078130830993
CF,LightGCN,standalone,6924,10,0.2542542542542542,0.1073212100989878,0.0297297297297297,0.1568068068068068,0.0985776476292531
CF,ItemKNN,standalone,6924,10,0.2252252252252252,0.1068640068640068,0.0255255255255255,0.1401067734401067,0.0943656827955694
CF,NeuMF,standalone,6924,10,0.2222222222222222,0.1034613979058423,0.0257257257257257,0.1362028695362028,0.0912386201411851
Sequential,SASRec,standalone,6924,10,0.2222222222222222,0.0936313297424408,0.0261261261261261,0.1389389389389389,0.0880630803985003
Sequential,GRU4Rec,standalone,6924,10,0.1731731731731731,0.0792820598376154,0.0194194194194194,0.1042876209542876,0.0677629234108633
Sequential,NARM,standalone,6924,10,0.1681681681681681,0.074855410966522,0.0189189189189189,0.1010844177510844,0.0673786334538235
Sequential,SRGNN,standalone,6924,10,0.1701701701701701,0.0737785404452071,0.0188188188188188,0.1035368702035368,0.0660898969721458
CF,Pop,standalone,6924,10,0.085085085085085,0.0330286635842191,0.0088088088088088,0.0433099766433099,0.0272603335911759
CF,Random,standalone,6924,10,0.005005005005005,0.0010784594117927,0.0005005005005005,0.0023356690023356,0.0010808842299422
