model,wilcoxon_statistic,p_raw,mean_delta_vs_ease,n_pairs,p_holm,significant_vs_ease,setting
Gemma-2-9B,46796.5,7.451084447584514e-05,0.04165365752468433,999.0,0.0003725542223792257,True,c0
Llama-3.1-8B,22701.5,0.9371248955192291,-0.012448834384487331,999.0,1.0,False,c0
Llama-3.2-3B,16601.5,0.999998982545026,-0.03365843070234018,999.0,1.0,False,c0
Llama-3.3-70B,35877.0,0.043202988435599755,0.021523329933837355,999.0,0.17281195374239902,False,c0
Qwen2.5-7B,19395.0,0.9999898073604964,-0.03171116096530602,999.0,1.0,False,c0
claude-opus-4-6,119298.0,4.886148839877609e-50,0.19862428890903375,999.0,4.886148839877609e-49,True,c0
claude-sonnet-4-6,76537.5,1.0768782650807626e-26,0.12682931999489522,999.0,8.615026120646101e-26,True,c0
gpt-5.2,89434.5,1.548644792234419e-32,0.14881089184656596,999.0,1.393780313010977e-31,True,c0
infobip-gpt-4-1,68744.5,3.067062312207188e-17,0.10439951128378272,999.0,1.8402373873243128e-16,True,c0
infobip-gpt-4-1-mini,68297.0,2.0122306245110485e-17,0.09973395822520326,999.0,1.4085614371577339e-16,True,c0
Gemma-2-9B,8911.0,0.9999977077938638,-0.02894124956828193,999.0,1.0,False,c250
Llama-3.1-8B,5834.0,0.999999999995761,-0.04356755313450099,999.0,1.0,False,c250
Llama-3.2-3B,2830.5,1.0,-0.0661082913854863,999.0,1.0,False,c250
Llama-3.3-70B,11913.5,0.9947341073418606,-0.016939876955313488,999.0,1.0,False,c250
Qwen2.5-7B,6757.0,0.9999999999876669,-0.043893291237979644,999.0,1.0,False,c250
Qwen2.5-7B-FT,10909.0,0.9945520461791268,-0.014711900157340741,999.0,1.0,False,c250
claude-opus-4-6,27180.0,2.7672722154943833e-13,0.055827100848595955,999.0,3.0439994370438216e-12,True,c250
claude-sonnet-4-6,23669.0,7.67565433370449e-08,0.03856987252015567,999.0,7.67565433370449e-07,True,c250
gpt-5.2,24818.0,3.7253516108229915e-07,0.03956292908108436,999.0,3.3528164497406924e-06,True,c250
infobip-gpt-4-1,22276.5,3.240165896045279e-06,0.034412479189460346,999.0,2.592132716836223e-05,True,c250
infobip-gpt-4-1-mini,16093.5,0.2439612675188209,0.008228715610718182,999.0,1.0,False,c250
