model,model_display,temperature,n_prompts,n_trials,raw_ndcg@10_mean,raw_ndcg@10_mean_prompt_std,strict_ndcg@10_mean,strict_ndcg@10_mean_prompt_std,raw_ndcg@10_std,raw_ndcg@10_std_prompt_std,strict_ndcg@10_std,strict_ndcg@10_std_prompt_std,raw_ndcg@10_cv,raw_ndcg@10_cv_prompt_std,strict_ndcg@10_cv,strict_ndcg@10_cv_prompt_std,candidate_valid_rate@10_mean,candidate_valid_rate@10_mean_prompt_std,raw_jaccard_distance@10,raw_jaccard_distance@10_prompt_std,strict_jaccard_distance@10,strict_jaccard_distance@10_prompt_std,raw_list_position_distance@10,raw_list_position_distance@10_prompt_std,strict_list_position_distance@10,strict_list_position_distance@10_prompt_std,raw_exact_list_agreement@10,raw_exact_list_agreement@10_prompt_std,strict_exact_list_agreement@10,strict_exact_list_agreement@10_prompt_std,raw_item_coverage@10,raw_item_coverage@10_prompt_std,strict_item_coverage@10,strict_item_coverage@10_prompt_std,raw_avg_popularity@10,raw_avg_popularity@10_prompt_std,strict_avg_popularity@10,strict_avg_popularity@10_prompt_std,raw_catalog_match_rate@10,raw_catalog_match_rate@10_prompt_std,strict_catalog_match_rate@10,strict_catalog_match_rate@10_prompt_std,strict_ndcg@10_mean_ci_mean,strict_ndcg@10_mean_ci_low,strict_ndcg@10_mean_ci_high,strict_jaccard_distance@10_ci_mean,strict_jaccard_distance@10_ci_low,strict_jaccard_distance@10_ci_high
claude-opus-4-6,Claude Opus 4.6,0.0,30,600,0.15333978161342215,0.3087595231978434,0.12667311494675546,0.28458385644011847,0.02171439718980878,0.07930156262976916,0.008034685828673392,0.03003510053893413,0.29275000205564183,0.43359496704711575,0.2612872629146511,0.4583662194326534,0.9973333333333334,0.01460593486680444,0.09020570073201652,0.07255518613027549,0.08986488365435734,0.07196788210758834,0.2725438596491228,0.13755948241151733,0.26992982456140346,0.1329061006324216,0.32824561403508773,0.19199513703630247,0.32824561403508773,0.19199513703630247,0.0016079337569805511,0.00021365683294167158,0.0016031195840554597,0.0002089480331239881,41.888903439153445,18.082517281912104,41.68808862433863,18.226274119583888,0.9628333333333334,0.06189094041737553,0.9601666666666667,0.06262206470969917,0.12667311494675546,0.036078640426494335,0.2327874385230573,0.08986488365435734,0.06401784852574326,0.11540912158017419
claude-opus-4-6,Claude Opus 4.6,0.5,30,600,0.1510000664314482,0.30926725199102517,0.12433339976478154,0.28490818451015537,0.02214512494176659,0.0792659075130642,0.008465413580631206,0.03014372813961776,0.43469083624176263,0.7240787310588048,0.4235053591273606,0.7813475141380863,0.9968333333333333,0.014767352932861006,0.10881118881118877,0.07525085296833327,0.10776524352840137,0.07401478161384535,0.27854385964912276,0.161067083757415,0.2764035087719298,0.15778181584236373,0.33789473684210525,0.2544152099508812,0.33789473684210525,0.2544152099508812,0.0016753321779318315,0.00025043912878469133,0.0016705180050067402,0.0002506783485629731,42.211209656084655,19.03246152376353,42.01076521164021,19.167092579117366,0.9623333333333333,0.06550511079473026,0.9596666666666667,0.0659667279422157,0.12433339976478154,0.0360692528630596,0.23885905220546252,0.10776524352840137,0.08222761062037375,0.13403654664049397
claude-opus-4-6,Claude Opus 4.6,1.0,30,600,0.15200656505171103,0.31284189062277606,0.12367323171837771,0.2846691506474049,0.020460874424708515,0.07229561342345732,0.008249289473624407,0.031006332909460886,0.4087488595391856,0.6613293303011676,0.4055705371989813,0.7142513195383721,0.9961666666666666,0.016277937964245256,0.1252118057381215,0.07972745211617985,0.12401099290572973,0.07729598457966926,0.352280701754386,0.14543870960204658,0.3496140350877193,0.14220047447843465,0.19719298245614034,0.17581182320587213,0.19719298245614034,0.17581182320587213,0.0017571731176583864,0.00029642873724920445,0.0017475447718082035,0.000289720595952934,42.04891137566139,18.597614206935482,41.84372619047619,18.73544245497662,0.9648333333333333,0.05834622189307038,0.9618333333333333,0.0588610774347668,0.12367323171837771,0.03538948057622552,0.2318950057844103,0.12401099290572973,0.09731220154114889,0.1501304854989065
gpt-5.2,GPT-5.2,0.0,30,600,0.11996981222246744,0.26407652476539467,0.10571512381307982,0.2660777254321793,0.02578903720599125,0.05876964509930261,0.010718265873202583,0.03565103866198989,0.88153105725735,1.3586851346283342,0.8170016408302041,1.6458841088904923,0.966,0.05831543239291308,0.2749401580923497,0.11721008008223026,0.26412414520162614,0.11639637363230539,0.525280701754386,0.1624690971642067,0.5206842105263159,0.1583010591623833,0.1480701754385965,0.16159448445510352,0.15228070175438596,0.1631662859111075,0.002248218756017717,0.0004747558674433738,0.0021519352975158867,0.00041608493041270754,35.89706283068782,20.09566531828343,34.94175992063492,19.435939268507905,0.9453333333333334,0.0763604579624159,0.9201666666666667,0.08290504885974549,0.10571512381307982,0.022107520979751372,0.21197472766170586,0.26412414520162614,0.22414879707460006,0.3060715563454711
gpt-5.2,GPT-5.2,0.5,30,600,0.12598859390329245,0.26377839083524957,0.10651200095684722,0.26670976415733194,0.04188083199351791,0.08030704166847945,0.011383677015286722,0.035921002801476636,1.3037242600475523,1.5298058311672196,0.8240746089993045,1.6370599737217022,0.9681666666666668,0.04869828527274599,0.2881502387225867,0.1082597001007946,0.275300546045515,0.10268460171488902,0.5733508771929824,0.12922973516170105,0.5638771929824561,0.12178665512045271,0.0612280701754386,0.09017535620881269,0.06210526315789473,0.08990926322530225,0.0023348738686693625,0.0004917238414491048,0.0022145195455420762,0.0003780127464709064,34.49386904761904,18.0742314641055,33.51670502645503,17.28460179449344,0.9451666666666667,0.07430695114527137,0.9225,0.07633580531057356,0.10651200095684722,0.01980322518420006,0.21207555229212155,0.275300546045515,0.24075846441570126,0.312187978267003
gpt-5.2,GPT-5.2,1.0,30,600,0.11891866432844513,0.2633839409338499,0.10193465529862193,0.2654158526936994,0.044385339533357326,0.09015306098560484,0.011468768277675994,0.03506132053086022,1.5628383470469747,1.6537225022054416,0.9507444674770801,1.6535085678439685,0.9649999999999999,0.053578817224463005,0.34211420131658027,0.11501370444537694,0.32932436902909046,0.1119773354337186,0.6573333333333333,0.10323961847967614,0.6477368421052632,0.09556885605161862,0.012105263157894734,0.02229329757191723,0.012456140350877191,0.022350353900619062,0.0027103793568264973,0.0006907497944283339,0.0025659541690737533,0.0005621568338204432,35.13387103174603,18.573784901166906,33.651054232804235,17.071127917141514,0.9448333333333332,0.07543532664307306,0.9188333333333334,0.0782974361377633,0.10193465529862193,0.022093047111177745,0.20084903681983748,0.32932436902909046,0.2897694674942934,0.3711309272548631
gpt-5.2,GPT-5.2,2.0,30,600,0.11871777018516796,0.26407530563453624,0.10542844211042265,0.26638301176216833,0.03969014081579944,0.06868521153023563,0.016168388139247664,0.04164065632005274,1.621966450345001,1.8094163959785377,1.349864362464242,1.9669127386533527,0.9681666666666665,0.03977270189579724,0.4052513945116194,0.11178238689005258,0.3922532172819365,0.10896573707430776,0.7345438596491228,0.0852968143262814,0.7258771929824561,0.08495745012593385,0.002280701754385965,0.005296326218918165,0.002280701754385965,0.005296326218918165,0.0030040439052570773,0.0008381982838561683,0.002821105334103602,0.0007487601380011771,34.87607738095239,18.2448466800019,33.606820105820105,17.098953207841085,0.9481666666666666,0.07229588786576213,0.9241666666666666,0.0723507182879452,0.10542844211042265,0.023929641124394895,0.21227082318229604,0.3922532172819365,0.3543673561587689,0.431639446444708
infobip-gpt-4-1,GPT-4.1,0.0,30,600,0.13095963824220577,0.2400989201472544,0.08821456727864177,0.21698287805369412,0.019067237513256743,0.046353797738930516,0.009205073426920828,0.030327980097060843,0.6354824510729522,1.3761605656536706,0.8009228225868599,1.646908186440515,0.9723333333333333,0.0689043982047157,0.19059330876668337,0.10614152506556988,0.18902970324022958,0.10702180424388101,0.40821052631578947,0.17352611184219183,0.40350877192982454,0.1735036917761544,0.21929824561403505,0.269528455943077,0.21929824561403505,0.269528455943077,0.0019304833429616792,0.0003913810180233533,0.001887155786635856,0.0003656324200975307,32.555,19.578625897108783,31.376743386243383,16.523973342192107,0.9458333333333332,0.08600404294158999,0.9223333333333331,0.09804760748398371,0.08821456727864177,0.023218085351384258,0.17449106562873637,0.18902970324022958,0.15216310473152578,0.22678181550418391
infobip-gpt-4-1,GPT-4.1,0.5,30,600,0.13156847013701045,0.24552358334809968,0.09050182331597163,0.22634101687004166,0.03752315600760378,0.06822061909847563,0.022503097820524214,0.05628631897557681,0.6194725412100197,0.7750090872841613,0.7256775325889732,0.9253181659814326,0.9700000000000001,0.06703061575336947,0.2998158429118182,0.10160385167279114,0.29639579704208185,0.10211528109115299,0.6430701754385966,0.09994889164245221,0.6333333333333334,0.10190518062800215,0.012631578947368419,0.043480270898397504,0.012631578947368419,0.043480270898397504,0.002411900635470826,0.0005160844787736463,0.002344502214519546,0.0004969618011480068,32.35585052910053,19.274480535195444,31.15565740740741,16.30694186273129,0.9420000000000001,0.08379572863774762,0.9188333333333334,0.09463799752061879,0.09050182331597163,0.01961589929192817,0.1769342507260136,0.29639579704208185,0.2599442229217578,0.33114467038522766
infobip-gpt-4-1,GPT-4.1,1.0,30,600,0.12892003335848054,0.24351487945903738,0.09007288415690827,0.22481444001443598,0.042725909971218876,0.07202068180109981,0.026645955358704065,0.06030792715087706,0.8925984097505407,1.0317001265725283,1.049813646894855,1.1852713402430368,0.9633333333333333,0.08236099400403891,0.42052486184839133,0.1185455597187351,0.416486445844031,0.11887169455190037,0.7560877192982457,0.07691425438823961,0.7440350877192984,0.08932381313061387,0.0003508771929824561,0.0013353059563287497,0.0014035087719298247,0.005853193860710901,0.003182168303485461,0.0006715311574606009,0.003047371461582901,0.0006247753013220399,31.6985667989418,18.902522326066148,30.523304232804232,15.764386090437057,0.9389999999999998,0.08527238304600634,0.9108333333333332,0.1056513731272725,0.09007288415690827,0.022548919681874786,0.17990447549648098,0.416486445844031,0.37245666542958533,0.45636526058221105
