model,model_display,setting,paper_ndcg@10,paper_hit_rate@10,paper_item_coverage@10,paper_avg_popularity@10,p_holm_vs_ease,significant_vs_ease
claude-opus-4-6,Claude Opus 4.6,c0,0.29254037777725506,0.4874874874874875,0.20407279029462738,52.12112886277881,4.886148839877609e-49,True
gpt-5.2,GPT-5.2,c0,0.24272698071478724,0.4094094094094094,0.21634893125361063,44.634929780195314,1.393780313010977e-31,True
claude-sonnet-4-6,Claude Sonnet 4.6,c0,0.22074540886311653,0.3813813813813814,0.21692663200462162,45.219110045487795,8.615026120646101e-26,True
infobip-gpt-4-1,GPT-4.1,c0,0.19831560015200403,0.34534534534534533,0.2185153090699018,40.90279250449762,1.8402373873243128e-16,True
infobip-gpt-4-1-mini,GPT-4.1-mini,c0,0.1936500470934246,0.35535535535535534,0.1998844598497978,52.08748725058965,1.4085614371577339e-16,True
Gemma-2-9B,Gemma-2-9B,c0,0.13556974639290567,0.2912912912912913,0.19324090121317158,47.8718414139958,0.0003725542223792257,True
Llama-3.3-70B,Llama-3.3-70B,c0,0.11543941880205867,0.2502502502502503,0.21143847487001732,47.85925687592355,0.17281195374239902,False
Llama-3.1-8B,Llama-3.1-8B,c0,0.08146725448373399,0.1991991991991992,0.17489890236857308,40.68408662222862,1.0,False
Qwen2.5-7B,Qwen2.5-7B,c0,0.062204927902915305,0.19519519519519518,0.2063835932986713,57.753099745645386,1.0,False
Llama-3.2-3B,Llama-3.2-3B,c0,0.060257658165881134,0.16216216216216217,0.19887348353552858,40.72096096955816,1.0,False
claude-opus-4-6,Claude Opus 4.6,c250,0.1497431897168173,0.27127127127127126,0.2638648180242634,42.80381894541855,3.0439994370438216e-12,True
gpt-5.2,GPT-5.2,c250,0.13347901794930567,0.25225225225225223,0.28581744656268054,36.64393957449513,3.3528164497406924e-06,True
claude-sonnet-4-6,Claude Sonnet 4.6,c250,0.13248596138837698,0.24624624624624625,0.27541883304448295,37.7908440186218,7.67565433370449e-07,True
infobip-gpt-4-1,GPT-4.1,c250,0.12832856805768167,0.23223223223223224,0.3037261698440208,34.21601561879339,2.592132716836223e-05,True
infobip-gpt-4-1-mini,GPT-4.1-mini,c250,0.1021448044789395,0.19119119119119118,0.30329289428076256,32.685606024422476,1.0,False
Qwen2.5-7B-FT,Qwen2.5-7B-FT,c250,0.07920418871088057,0.15015015015015015,0.27108607741190066,23.215164767942543,1.0,False
Llama-3.3-70B,Llama-3.3-70B,c250,0.07697621191290784,0.16016016016016016,0.26068746389370306,33.69032087643198,1.0,False
Gemma-2-9B,Gemma-2-9B,c250,0.0649748392999394,0.12812812812812813,0.30675909878682844,26.427313270485858,1.0,False
Llama-3.1-8B,Llama-3.1-8B,c250,0.05034853573372033,0.1011011011011011,0.2401790872328134,27.034420853802875,1.0,False
Qwen2.5-7B,Qwen2.5-7B,c250,0.05002279763024168,0.10710710710710711,0.26198729058347775,29.61669939870042,1.0,False
Llama-3.2-3B,Llama-3.2-3B,c250,0.027807797482735038,0.057057057057057055,0.2939052570768342,20.931664578111942,1.0,False
