title_norm,tmdb_id,genres,director,top_cast,overview,match_score,enriched_text
Headhunter (2009),20458.0,['Thriller'],Rumle Hammerich,"['Lars Mikkelsen', 'David Bateson', 'Charlotte Fich']","Martin Vinge, former notorious journalist, now successful headhunter with a complicated personal life, is in all confidentiality contacted by 85 year-old N.F. Sieger, S.E.O. of Denmark's largest shipping company and oil empire. Sieger hires Martin to find an alternative heir to the firm instead of his son, Daniel Sieger, who for a long time has been destined to take the company into the next era. Martin starts coming up with suitable names for the position, but discovers that he has actually been entangled in a larger impenetrable power game aimed at deciding what is really going to happen to the company; a brutal power struggle that puts an intense pressure on Martin and his private life and relationships.",1.0,"Headhunter (2009) | Genres: Thriller | Director: Rumle Hammerich | Cast: Lars Mikkelsen, David Bateson, Charlotte Fich"
Angels in the Outfield (1994),24795.0,"['Comedy', 'Family', 'Fantasy']",William Dear,"['Danny Glover', 'Tony Danza', 'Brenda Fricker']","Roger is a foster child whose irresponsible father promises to get his act together when Roger's favourite baseball team, the California Angels, wins the pennant. The problem is that the Angels are in last place, so Roger prays for help to turn the team around. Sure enough, his prayers are answered in the form of angel Al.",1.0,"Angels in the Outfield (1994) | Genres: Comedy, Family, Fantasy | Director: William Dear | Cast: Danny Glover, Tony Danza, Brenda Fricker"
Eddie and the Cruisers (1983),21721.0,"['Drama', 'Music']",Martin Davidson,"['Tom Berenger', 'Michael Paré', 'Joe Pantoliano']","A television newswoman picks up the story of a 1960s rock band whose long-lost leader — Eddie Wilson — may still be alive, while searching for the missing tapes of the band's never-released album.",1.0,"Eddie and the Cruisers (1983) | Genres: Drama, Music | Director: Martin Davidson | Cast: Tom Berenger, Michael Paré, Joe Pantoliano"
Ninja Assassin (2009),22832.0,"['Action', 'Adventure', 'Thriller']",James McTeigue,"['Rain', 'Naomie Harris', 'Ben Miles']","Ninja Assassin follows Raizo, one of the deadliest assassins in the world. Taken from the streets as a child, he was transformed into a trained killer by the Ozunu Clan, a secret society whose very existence is considered a myth. But haunted by the merciless execution of his friend by the Clan, Raizo breaks free from them and vanishes. Now he waits, preparing to exact his revenge.",1.0,"Ninja Assassin (2009) | Genres: Action, Adventure, Thriller | Director: James McTeigue | Cast: Rain, Naomie Harris, Ben Miles"
Orgazmo (1997),8675.0,['Comedy'],Trey Parker,"['Trey Parker', 'Dian Bachar', 'Matt Stone']",A devout Mormon living in L.A. becomes a pornographic actor after his martial arts moves impress a big-time director.,0.9,"Orgazmo (1997) | Genres: Comedy | Director: Trey Parker | Cast: Trey Parker, Dian Bachar, Matt Stone"
Toy Story 2 (1999),863.0,"['Animation', 'Comedy', 'Family']",John Lasseter,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']","Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",1.0,"Toy Story 2 (1999) | Genres: Animation, Comedy, Family | Director: John Lasseter | Cast: Tom Hanks, Tim Allen, Joan Cusack"
A Star Is Born (1954),3111.0,"['Drama', 'Music', 'Romance']",George Cukor,"['Judy Garland', 'James Mason', 'Jack Carson']","A movie star helps a young singer-actress find fame, even as age and alcoholism send his own career into a downward spiral.",1.0,"A Star Is Born (1954) | Genres: Drama, Music, Romance | Director: George Cukor | Cast: Judy Garland, James Mason, Jack Carson"
Pretty in Pink (1986),11522.0,"['Romance', 'Drama']",Howard Deutch,"['Molly Ringwald', 'Andrew McCarthy', 'Jon Cryer']","Andie is an outcast, hanging out either with her older boss, who owns the record store where she works, or her quirky high school classmate Duckie, who has a crush on her. When one of the rich and popular kids at school, Blane, asks Andie out, it seems too good to be true. As Andie starts falling for Blane, she begins to realize that dating someone from a different social sphere is not easy.",1.0,"Pretty in Pink (1986) | Genres: Romance, Drama | Director: Howard Deutch | Cast: Molly Ringwald, Andrew McCarthy, Jon Cryer"
Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,102936.0,"['Adventure', 'Drama', 'TV Movie']",Paul Krasny,"['Raphael Sbarge', 'Megan Follows', 'Mitchell Anderson']",This is yet another telling of the adventures of Tom Sawyer and Huckleberry Finn as the two try to clear their friend Jim of murder charges.,1.0,"Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn | Genres: Adventure, Drama, TV Movie | Director: Paul Krasny | Cast: Raphael Sbarge, Megan Follows, Mitchell Anderson"
An American Werewolf in Paris (1997),9406.0,"['Horror', 'Comedy', 'Fantasy']",Anthony Waller,"['Tom Everett Scott', 'Julie Delpy', 'Vince Vieluf']",An American man unwittingly gets involved with werewolves who have developed a serum allowing them to transform at will.,1.0,"An American Werewolf in Paris (1997) | Genres: Horror, Comedy, Fantasy | Director: Anthony Waller | Cast: Tom Everett Scott, Julie Delpy, Vince Vieluf"
