model_type,model,eval_method,n_candidates,k,hit_rate,mrr,precision,recall,ndcg
CF,Pop,standalone,6924,10,0.08508508508508508,0.03302866358421914,0.00880880880880881,0.043309976643309975,0.027260333591175932
CF,Random,standalone,6924,10,0.005005005005005005,0.001078459411792745,0.0005005005005005005,0.002335669002335669,0.0010808842299422868
CF,BPR,standalone,6924,10,0.22822822822822822,0.11644620811287479,0.02662662662662663,0.14159159159159157,0.09910781308309931
CF,ItemKNN,standalone,6924,10,0.22522522522522523,0.10686400686400688,0.025525525525525526,0.14010677344010675,0.09436568279556945
CF,EASE,standalone,6924,10,0.27627627627627627,0.13426680648902872,0.03233233233233233,0.172655989322656,0.11708436825474035
CF,LightGCN,standalone,6924,10,0.25425425425425424,0.10732121009898787,0.02972972972972973,0.1568068068068068,0.09857764762925315
CF,NeuMF,standalone,6924,10,0.2222222222222222,0.10346139790584234,0.025725725725725727,0.13620286953620286,0.09123862014118513
CF,CBF+Pop,cbf_reranking,250,10,0.1061061061061061,0.04329130718019607,0.011411411411411412,0.06338004671338004,0.03882983356024256
CF,CBF+Pop,cbf_reranking,500,10,0.0960960960960961,0.03904340848785293,0.01001001001001001,0.05385385385385385,0.03375713763070486
CF,CBF+Pop,cbf_reranking,1000,10,0.09009009009009009,0.0405055849500294,0.00950950950950951,0.0490990990990991,0.03294576230436616
CF,CBF+Random,cbf_reranking,250,10,0.02702702702702703,0.006525573192239859,0.002702702702702703,0.014631297964631296,0.007206879656113555
CF,CBF+Random,cbf_reranking,500,10,0.015015015015015015,0.0034045950712617377,0.0015015015015015015,0.008291624958291624,0.0039415645623544415
CF,CBF+Random,cbf_reranking,1000,10,0.01001001001001001,0.0039539539539539545,0.001001001001001001,0.005505505505505505,0.0034192382244090315
CF,CBF+BPR,cbf_reranking,250,10,0.1891891891891892,0.09775608942275608,0.021521521521521522,0.11811811811811812,0.08262521865624298
CF,CBF+BPR,cbf_reranking,500,10,0.1941941941941942,0.09643651588096032,0.022022022022022022,0.12162162162162163,0.08288271266435332
CF,CBF+BPR,cbf_reranking,1000,10,0.2032032032032032,0.10243060520838299,0.023423423423423424,0.12457457457457456,0.08723861873015953
CF,CBF+ItemKNN,cbf_reranking,250,10,0.1981981981981982,0.10431860431860433,0.022222222222222227,0.12180513847180513,0.08757098205137819
CF,CBF+ItemKNN,cbf_reranking,500,10,0.2092092092092092,0.1060679727346394,0.023323323323323326,0.12982982982982985,0.0911524270395446
CF,CBF+ItemKNN,cbf_reranking,1000,10,0.21621621621621623,0.10945985668207889,0.024124124124124124,0.1342509175842509,0.09416632044716162
CF,CBF+EASE,cbf_reranking,250,10,0.2072072072072072,0.11531769865103199,0.023523523523523524,0.12801134467801134,0.09391608886822132
CF,CBF+EASE,cbf_reranking,500,10,0.22122122122122123,0.11632386354608577,0.024424424424424426,0.13653653653653655,0.09716863520577786
CF,CBF+EASE,cbf_reranking,1000,10,0.23723723723723725,0.12238985016762793,0.026926926926926928,0.14684684684684685,0.1041961807684347
