model_type,model,eval_method,n_candidates,k,hit_rate,mrr,precision,recall,ndcg
CF,Pop,standalone,6924,1,0.013013013013013,0.013013013013013,0.013013013013013,0.0057057057057057,0.013013013013013
CF,Pop,standalone,6924,5,0.056056056056056,0.0292459125792459,0.0114114114114114,0.0275942609275942,0.0212522953757278
CF,Pop,standalone,6924,10,0.085085085085085,0.0330286635842191,0.0088088088088088,0.0433099766433099,0.0272603335911759
CF,Random,standalone,6924,1,0.0,0.0,0.0,0.0,0.0
CF,Random,standalone,6924,5,0.002002002002002,0.0006673340006673,0.0004004004004004,0.0005839172505839,0.000430259647655
CF,Random,standalone,6924,10,0.005005005005005,0.0010784594117927,0.0005005005005005,0.0023356690023356,0.0010808842299422
CF,BPR,standalone,6924,1,0.071071071071071,0.071071071071071,0.071071071071071,0.0365198531865198,0.071071071071071
CF,BPR,standalone,6924,5,0.1811811811811811,0.1101768435101768,0.0404404404404404,0.1074074074074074,0.0861773491875332
CF,BPR,standalone,6924,10,0.2282282282282282,0.1164462081128747,0.0266266266266266,0.1415915915915915,0.0991078130830993
CF,ItemKNN,standalone,6924,1,0.063063063063063,0.063063063063063,0.063063063063063,0.0343176509843176,0.063063063063063
CF,ItemKNN,standalone,6924,5,0.1641641641641641,0.0985985985985986,0.036036036036036,0.1000667334000667,0.0791695263066583
CF,ItemKNN,standalone,6924,10,0.2252252252252252,0.1068640068640068,0.0255255255255255,0.1401067734401067,0.0943656827955694
CF,EASE,standalone,6924,1,0.075075075075075,0.075075075075075,0.075075075075075,0.0374874874874874,0.075075075075075
CF,EASE,standalone,6924,5,0.2122122122122122,0.1255588922255588,0.0478478478478478,0.1271271271271271,0.1000065528757756
CF,EASE,standalone,6924,10,0.2762762762762762,0.1342668064890287,0.0323323323323323,0.172655989322656,0.1170843682547403
CF,LightGCN,standalone,6924,1,0.058058058058058,0.058058058058058,0.058058058058058,0.0285285285285285,0.058058058058058
CF,LightGCN,standalone,6924,5,0.1731731731731731,0.096363029696363,0.0384384384384384,0.1014347681014347,0.0773679515856293
CF,LightGCN,standalone,6924,10,0.2542542542542542,0.1073212100989878,0.0297297297297297,0.1568068068068068,0.0985776476292531
CF,NeuMF,standalone,6924,1,0.062062062062062,0.062062062062062,0.062062062062062,0.0310643977310643,0.062062062062062
CF,NeuMF,standalone,6924,5,0.1651651651651651,0.0954788121454788,0.0368368368368368,0.097731064397731,0.0763866880559226
CF,NeuMF,standalone,6924,10,0.2222222222222222,0.1034613979058423,0.0257257257257257,0.1362028695362028,0.0912386201411851
CF,CBF+Pop,cbf_reranking,250,1,0.024024024024024,0.024024024024024,0.024024024024024,0.0127127127127127,0.024024024024024
CF,CBF+Pop,cbf_reranking,250,5,0.063063063063063,0.037671004337671,0.013013013013013,0.0346012679346012,0.028300607316648
CF,CBF+Pop,cbf_reranking,250,10,0.1061061061061061,0.043291307180196,0.0114114114114114,0.06338004671338,0.0388298335602425
CF,CBF+Pop,cbf_reranking,500,1,0.023023023023023,0.023023023023023,0.023023023023023,0.0119619619619619,0.023023023023023
CF,CBF+Pop,cbf_reranking,500,5,0.06006006006006,0.0343843843843843,0.0122122122122122,0.0346846846846846,0.0264175563540778
CF,CBF+Pop,cbf_reranking,500,10,0.0960960960960961,0.0390434084878529,0.01001001001001,0.0538538538538538,0.0337571376307048
CF,CBF+Pop,cbf_reranking,1000,1,0.026026026026026,0.026026026026026,0.026026026026026,0.0128795462128795,0.026026026026026
CF,CBF+Pop,cbf_reranking,1000,5,0.055055055055055,0.0358024691358024,0.0118118118118118,0.029763096429763,0.0255534808733164
CF,CBF+Pop,cbf_reranking,1000,10,0.09009009009009,0.0405055849500294,0.0095095095095095,0.0490990990990991,0.0329457623043661
CF,CBF+Random,cbf_reranking,250,1,0.002002002002002,0.002002002002002,0.002002002002002,0.0012512512512512,0.002002002002002
CF,CBF+Random,cbf_reranking,250,5,0.009009009009009,0.0042876209542876,0.0018018018018018,0.0052552552552552,0.0037174364531588
CF,CBF+Random,cbf_reranking,250,10,0.027027027027027,0.0065255731922398,0.0027027027027027,0.0146312979646312,0.0072068796561135
CF,CBF+Random,cbf_reranking,500,1,0.0,0.0,0.0,0.0,0.0
CF,CBF+Random,cbf_reranking,500,5,0.005005005005005,0.0020854187520854,0.001001001001001,0.0030864197530864,0.0019681604565037
CF,CBF+Random,cbf_reranking,500,10,0.015015015015015,0.0034045950712617,0.0015015015015015,0.0082916249582916,0.0039415645623544
CF,CBF+Random,cbf_reranking,1000,1,0.001001001001001,0.001001001001001,0.001001001001001,0.0002502502502502,0.001001001001001
CF,CBF+Random,cbf_reranking,1000,5,0.009009009009009,0.0037871204537871,0.0018018018018018,0.0051718385051718,0.00325191044166
CF,CBF+Random,cbf_reranking,1000,10,0.01001001001001,0.0039539539539539,0.001001001001001,0.0055055055055055,0.003419238224409
CF,CBF+BPR,cbf_reranking,250,1,0.063063063063063,0.063063063063063,0.063063063063063,0.0328828828828828,0.063063063063063
