model_type,model,eval_method,n_candidates,k,hit_rate,mrr,precision,recall,ndcg
CF,Pop,standalone,6924,10,0.085085085085085,0.0330286635842191,0.0088088088088088,0.0433099766433099,0.0272603335911759
CF,Random,standalone,6924,10,0.005005005005005,0.0010784594117927,0.0005005005005005,0.0023356690023356,0.0010808842299422
CF,BPR,standalone,6924,10,0.2282282282282282,0.1164462081128747,0.0266266266266266,0.1415915915915915,0.0991078130830993
CF,ItemKNN,standalone,6924,10,0.2252252252252252,0.1068640068640068,0.0255255255255255,0.1401067734401067,0.0943656827955694
CF,EASE,standalone,6924,10,0.2762762762762762,0.1342668064890287,0.0323323323323323,0.172655989322656,0.1170843682547403
CF,LightGCN,standalone,6924,10,0.2542542542542542,0.1073212100989878,0.0297297297297297,0.1568068068068068,0.0985776476292531
CF,NeuMF,standalone,6924,10,0.2222222222222222,0.1034613979058423,0.0257257257257257,0.1362028695362028,0.0912386201411851
CF,CBF+Pop,cbf_reranking,250,10,0.1061061061061061,0.043291307180196,0.0114114114114114,0.06338004671338,0.0388298335602425
CF,CBF+Pop,cbf_reranking,500,10,0.0960960960960961,0.0390434084878529,0.01001001001001,0.0538538538538538,0.0337571376307048
CF,CBF+Pop,cbf_reranking,1000,10,0.09009009009009,0.0405055849500294,0.0095095095095095,0.0490990990990991,0.0329457623043661
CF,CBF+Random,cbf_reranking,250,10,0.027027027027027,0.0065255731922398,0.0027027027027027,0.0146312979646312,0.0072068796561135
CF,CBF+Random,cbf_reranking,500,10,0.015015015015015,0.0034045950712617,0.0015015015015015,0.0082916249582916,0.0039415645623544
CF,CBF+Random,cbf_reranking,1000,10,0.01001001001001,0.0039539539539539,0.001001001001001,0.0055055055055055,0.003419238224409
CF,CBF+BPR,cbf_reranking,250,10,0.1891891891891892,0.097756089422756,0.0215215215215215,0.1181181181181181,0.0826252186562429
CF,CBF+BPR,cbf_reranking,500,10,0.1941941941941942,0.0964365158809603,0.022022022022022,0.1216216216216216,0.0828827126643533
CF,CBF+BPR,cbf_reranking,1000,10,0.2032032032032032,0.1024306052083829,0.0234234234234234,0.1245745745745745,0.0872386187301595
CF,CBF+ItemKNN,cbf_reranking,250,10,0.1981981981981982,0.1043186043186043,0.0222222222222222,0.1218051384718051,0.0875709820513781
