model_type,model,eval_method,retriever_type,retriever_model,reranker_type,reranker_model,n_candidates,average_popularity,genre_coverage,genre_entropy,gini_index,item_coverage,shannon_entropy,tail_percentage
api,claude-sonnet-4-6,reranking,cbf,CBF,llm,claude-sonnet-4-6,0.0,45.57864577242428,1.0,2.553695209422548,0.9132208651107591,0.23180242634315423,6.575378690025456,0.010408139398900713
api,claude-sonnet-4-6,reranking,cbf,CBF,llm,claude-sonnet-4-6,250.0,37.08425275827482,1.0,2.5703876309449667,0.8772468474168899,0.30488157134604277,6.921643818343092,0.017552657973921765
api,claude-sonnet-4-6,reranking,cbf,CBF,llm,claude-sonnet-4-6,500.0,38.38006230529595,1.0,2.5665253245019035,0.8822741688461797,0.2988157134604275,6.872898108327062,0.01728469500552708
api,claude-sonnet-4-6,reranking,cbf,CBF,llm,claude-sonnet-4-6,1000.0,39.79606781021165,1.0,2.568007583437819,0.8864562610875921,0.2918833044482958,6.835560650813903,0.016551309058080048
api,gemini-3-pro,reranking,cbf,CBF,llm,gemini-3-pro,0.0,45.00365911237016,1.0,2.5422459978873895,0.9091348385738268,0.23339110340843444,6.646100043147172,0.009206798866855524
api,gemini-3-pro,reranking,cbf,CBF,llm,gemini-3-pro,250.0,38.51422550052687,1.0,2.5404490182583395,0.8916524219906145,0.20782784517619873,6.787359276369154,0.015806111696522657
api,gemini-3-pro,reranking,cbf,CBF,llm,gemini-3-pro,500.0,36.693117053923714,1.0,2.5518650472313555,0.873611878297371,0.27484113229347196,6.963888744479206,0.014759608358906912
api,gemini-3-pro,reranking,cbf,CBF,llm,gemini-3-pro,1000.0,37.73631716743548,1.0,2.5490415393113817,0.8751669595503602,0.2874061236279607,6.957942918675101,0.013090637077671113
api,gpt-5.2,reranking,cbf,CBF,llm,gpt-5.2,0.0,44.099854439592434,1.0,2.5545945218013197,0.9165272869003199,0.20826112073945696,6.558153152585822,0.009315866084425037
api,gpt-5.2,reranking,cbf,CBF,llm,gpt-5.2,250.0,35.94805457301668,1.0,2.557233846185764,0.8664229902129497,0.3269786250722126,7.001421826665033,0.018089944416371906
api,gpt-5.2,reranking,cbf,CBF,llm,gpt-5.2,500.0,37.37227682642618,1.0,2.559184726967216,0.8725414571557537,0.3175909878682842,6.952230576330532,0.014895126152599048
api,gpt-5.2,reranking,cbf,CBF,llm,gpt-5.2,1000.0,38.417040358744394,1.0,2.5576747160477096,0.8753876753561999,0.30849220103986136,6.938434217370876,0.015593151243375458
api,infobip-gpt-4-1,reranking,cbf,CBF,llm,infobip-gpt-4-1,0.0,40.80559085133418,1.0,2.546502977808799,0.9074070485364057,0.23324667822068168,6.644218263903117,0.008767471410419314
api,infobip-gpt-4-1,reranking,cbf,CBF,llm,infobip-gpt-4-1,250.0,33.85091463414634,1.0,2.558669126524419,0.849942171215473,0.34994222992489893,7.114394519792773,0.018902439024390243
api,infobip-gpt-4-1,reranking,cbf,CBF,llm,infobip-gpt-4-1,500.0,35.28977272727273,1.0,2.556724033925107,0.8554191331487694,0.34055459272097055,7.079427986933112,0.019074675324675324
api,infobip-gpt-4-1,reranking,cbf,CBF,llm,infobip-gpt-4-1,1000.0,36.44589096826688,1.0,2.55495686509351,0.8584874358312663,0.33636626227614097,7.056227520583861,0.01647681041497152
api,infobip-gpt-4-1-mini,reranking,cbf,CBF,llm,infobip-gpt-4-1-mini,0.0,52.34822678488101,1.0,2.5576101362561197,0.92808983637563,0.21042749855574813,6.370337507497901,0.006882874475034998
api,infobip-gpt-4-1-mini,reranking,cbf,CBF,llm,infobip-gpt-4-1-mini,250.0,32.94929172654486,1.0,2.562467468375163,0.8428912208817649,0.3619295205083767,7.169517282551508,0.02217203859577089
